departamento,municipio,validos,blancos,nulos,emitidos,inscritos,sigla
BENI,BAURES,0,0,0,0,4,CC
BENI,EXALTACIÓN,0,0,0,0,1,CC
BENI,GUAYARAMERÍN,0,0,0,0,30.000000000000007,CC
BENI,HUACARAJE,0,0,0,0,4,CC
BENI,LORETO,0,0,0,0,2,CC
BENI,MAGDALENA,0,0,0,0,8,CC
BENI,PUERTO MENOR DE RURRENABAQUE,0,0,0,0,20,CC
BENI,REYES,1,0,0,1,6,CC
BENI,RIBERALTA,0,0,0,0,59,CC
BENI,SAN ANDRÉS,0,0,0,0,8,CC
BENI,SAN BORJA,0,0,0,0,29,CC
BENI,SAN IGNACIO,0,0,0,0,4,CC
BENI,SAN JAVIER,0,0,0,0,2,CC
BENI,SAN JOAQUÍN,0,0,0,0,3,CC
BENI,SANTA ANA,0,0,0,0,12,CC
BENI,SANTA ROSA,0,0,0,0,8,CC
BENI,TRINIDAD,13.000000000000009,0,4,17.000000000000004,272.99999999999994,CC
CHUQUISACA,ALCALÁ,0,0,0,0,3,CC
CHUQUISACA,AZURDUY,0,0,0,0,3,CC
CHUQUISACA,CAMARGO,1.0000000000000002,0,0,1.0000000000000002,34,CC
CHUQUISACA,CULPINA,1.0000000000000002,0,0,1.0000000000000002,24,CC
CHUQUISACA,HUACARETA,1,2,0,3,5,CC
CHUQUISACA,INCAHUASI,0,0,0,0,6,CC
CHUQUISACA,LAS CARRERAS,0,1,0,1,10,CC
CHUQUISACA,MACHARETI,0,1,0,1,6.999999999999999,CC
CHUQUISACA,MOJOCOYA,1,0,0,1,4,CC
CHUQUISACA,MONTEAGUDO,2,0,0,2,34,CC
CHUQUISACA,PADILLA,2,0,0,2,12,CC
CHUQUISACA,POROMA,0,0,0,0,7,CC
CHUQUISACA,PRESTO,0,0,0,0,5,CC
CHUQUISACA,SAN LUCAS,1,1.0000000000000002,0,2,33,CC
CHUQUISACA,SOPACHUI,0,0,0,0,1,CC
CHUQUISACA,SUCRE,186.99999999999991,3.0000000000000018,7.000000000000001,197.00000000000003,2792.0000000000005,CC
CHUQUISACA,TARABUCO,1,0,0,1,7,CC
